"Word";"Freq"
"TEST";392
"спасибо";55
"еще";44
"люблю";32
"пусть";28
"хуй";28
"существительное";25
"ve";23
"как  львЁнок и черепаха пельи песьню";23
"мне";23
"до свидания";22
"bonvolu";21
"dankon";20
"kion";20
"sin";19
"черный";19
"povas";18
"приходить";18
"сюжет";18
"лучше";17
"получать";17
"estas";16
"plura";16
"большой эсперанто-русский словарь";16
"3как  львЁнок и черепаха пельи песьню";15
"легкий";15
"нравится";15
"поскольку";15
"разве";15
"fek";14
"kelkaj";14
"иметь в виду";14
"меня";14
"умирать";14
"успевать";14
"веселый";13
"ладно";13
"откуда";13
"помочь";13
"равно";13
"сдаваться";13
"тем более";13
"ура";13
"adiaux";12
"gxin";12
"желтый";12
"как дела";12
"моя";12
"навсегда";12
"рад";12
"себе";12
"чего";12
"я тебя люблю";12
"konsiderata";11
"pova";11
"saluton";11
"выражение";11
"мотивация";11
"сдавать";11
"убивать";11
"эсперанто-русский словарь";11
"dis";10
"esta";10
"malzenito";10
"pre";10
"video";10
"ах";10
"вперед";10
"дела";10
"день рождения";10
"костер";10
"лед";10
"милая";10
"онлайн";10
"пизда";10
"получиться";10
"сарай";10
"скорее";10
"согласиться";10
"трахать";10
"увлекаться";10
"ge";9
"menci";9
"undefined";9
"арендовать";9
"в течение";9
"взрослый";9
"во время";9
"глаза";9
"легкие";9
"полтора";9
"попа";9
"Спасибо";9
"тяжелый";9
"уступать";9
"ali";8
"aroga";8
"certi";8
"eblas";8
"flugio";8
"gi";8
"ha";8
"kaze";8
"korekte";8
"le";8
"mamulo";8
"nin";8
"аббадеса";8
"большой эсперанто-русский словарь в актуальной редакции";8
"всё равно";8
"ебать";8
"здравствуйте";8
"зщк";8
"надевать";8
"носки";8
"оттуда";8
"посвятить";8
"прислать";8
"прощай";8
"ребенок";8
"смешно";8
"спрашивать";8
"уставать";8
"ученый";8
"черт";8
"эксперт";8
"djpdhf";7
"eoru.ru";7
"ion";7
"kiuj";7
"konforme";7
"morno";7
"ple";7
"publiki";7
"saga";7
"varmi";7
"будет";7
"был";7
"внешность";7
"все равно";7
"досвидания";7
"дрожать";7
"жалоба";7
"ЗА ДВЕРЬЮ";7
"занят";7
"к сожалению";7
"как будто";7
"как раз";7
"мед";7
"может";7
"мультфильм";7
"надоесть";7
"неужели";7
"обращаться на >";7
"одна";7
"омут";7
"осознать";7
"пере";7
"передумать";7
"потрясающий";7
"сметь";7
"соскучиться";7
"твердый";7
"уборка";7
"хочу";7
"чуть";7
"ana";6
"anta";6
"antau";6
"as";6
"avido";6
"bezonas";6
"bonan";6
"Bonvolu";6
"cxef";6
"cxion";6
"cнег";6
"devas";6
"devena";6
"dumonatan";6
"ellaborita";6
"endi";6
"glati";6
"is";6
"konati";6
"konti";6
"kviti";6
"mal";6
"menciita";6
"nomata";6
"rekonti";6
"sagaco";6
"Saluton";6
"tion";6
"vir";6
"алло";6
"аниме";6
"аудио";6
"благодарю";6
"блядь";6
"в течении";6
"в честь";6
"важно";6
"великолепный";6
"видео";6
"все-таки";6
"ву";6
"выражать";6
"добрый день";6
"достигать";6
"достигнуть";6
"друг другу";6
"красивая";6
"лет";6
"лечиться";6
"ложиться";6
"м";6
"намного";6
"находится";6
"несмотря";6
"обидеть";6
"ой";6
"окончательно";6
"относить";6
"ох";6
"перекресток";6
"повезти";6
"подобное";6
"поздравить";6
"послушать";6
"прав";6
"прииск";6
"прилагательное";6
"прическа";6
"прорубь";6
"просыпаться";6
"радужная";6
"разные";6
"ресница";6
"сборник";6
"серьезный";6
"счет";6
"темный";6
"черемуха";6
"эй";6
"1";5
"aha";5
"akompan";5
"alumo";5
"amata";5
"au";5
"audi";5
"bedaux";5
"bervala";5
"cxion";5
"damne";5
"dankinde";5
"dieca";5
"dt";5
"egal";5
"egalo";5
"ekesto";5
"eko";5
"eo";5
"fara";5
"fare";5
"fartas";5
"funkolando";5
"gastigo";5
"gigxeto";5
"iras";5
"karakterizo";5
"kasx";5
"Kion";5
"klaro";5
"kuloi";5
"kundividi";5
"lala";5
"mean";5
"mekanike";5
"misproklami";5
"opini";5
"parolata";5
"profitanto";5
"promoci";5
"provizumi";5
"pufi";5
"seki";5
"sence";5
"speca";5
"spit";5
"Tauxro";5
"trakosme";5
"tui";5
"umi";5
"vari";5
"vasti";5
"venas";5
"venkos";5
"zozo";5
"бардак";5
"большой эсперанто-русский словарь в актуальной редакции;";5
"было";5
"валенки";5
"вещи";5
"возвращаться";5
"все еще";5
"выраж";5
"гадюка";5
"губы";5
"дергать";5
"до сих пор";5
"доброе утро";5
"ее";5
"еж";5
"зазнобе";5
"здраздвуйте";5
"зеленый";5
